iterations,dataset_id,mae,mse,rmse,unique_subsets,num_clusters,actual_epsilon,step
0.01,0,2.78E-17,6.16E-33,7.85E-17,255,8,0.01,0
0.01,1,1.39E-17,1.54E-33,3.93E-17,255,8,0.01,0
0.01,2,1.73E-17,1.64E-33,4.05E-17,255,8,0.01,0
0.01,3,1.39E-17,1.54E-33,3.93E-17,255,8,0.01,0
0.01,4,1.39E-17,1.54E-33,3.93E-17,255,8,0.01,0
0.01,5,0.167708333,0.039883521,0.19970859,127,7,0.01,0
0.01,6,1.73E-17,1.64E-33,4.05E-17,255,8,0.01,0
0.01,7,0,0,0,255,8,0.01,0
0.01,8,0,0,0,255,8,0.01,0
0.01,9,3.47E-17,6.55E-33,8.09E-17,255,8,0.01,0
0.01,10,5.55E-17,1.23E-32,1.11E-16,255,8,0.01,0
0.01,11,0.16953125,0.066567383,0.258006556,31,5,0.01,0
0.01,12,0,0,0,255,8,0.01,0
0.01,13,6.25E-17,1.27E-32,1.13E-16,255,8,0.01,0
0.01,14,0,0,0,255,8,0.01,0
0.01,15,1.39E-17,1.54E-33,3.93E-17,255,8,0.01,0
0.01,16,0.112574405,0.028730277,0.169500079,7,3,0.01,0
0.01,17,0,0,0,255,8,0.01,0
0.01,18,4.16E-17,7.70E-33,8.78E-17,255,8,0.01,0
0.01,19,0,0,0,255,8,0.01,0
0.01,20,0.168452381,0.045357143,0.212972165,3,2,0.01,0
0.01,21,2.78E-17,6.16E-33,7.85E-17,255,8,0.01,0
0.01,22,0,0,0,255,8,0.01,0
0.01,23,0,0,0,255,8,0.01,0
0.01,24,0.641964286,0.43762702,0.661533839,3,2,0.01,0
0.01,25,6.94E-18,3.85E-34,1.96E-17,255,8,0.01,0
0.01,26,0,0,0,255,8,0.01,0
0.01,27,0.026785714,0.001330871,0.036481103,127,7,0.01,0
0.01,28,0.075,0.005625,0.075,31,5,0.01,0
0.01,29,0.09375,0.009375,0.096824584,15,4,0.01,0
0.01,30,0,0,0,255,8,0.01,0
0.01,31,0.052827381,0.003880031,0.062289896,63,6,0.01,0
0.01,32,0.038988095,0.001610642,0.0401328,31,5,0.01,0
0.01,33,4.16E-17,7.70E-33,8.78E-17,255,8,0.01,0
0.01,34,0,0,0,255,8,0.01,0
0.01,35,0,0,0,255,8,0.01,0
0.01,36,0.01235119,0.000185126,0.013606106,63,6,0.01,0
0.01,37,0.103869048,0.018811473,0.137154922,63,6,0.01,0
0.01,38,0,0,0,255,8,0.01,0
0.01,39,0.141617063,0.049650416,0.222823732,63,6,0.01,0
0.01,40,2.78E-17,6.16E-33,7.85E-17,255,8,0.01,0
0.01,41,2.78E-17,6.16E-33,7.85E-17,255,8,0.01,0
0.01,42,2.78E-17,6.16E-33,7.85E-17,255,8,0.01,0
0.01,43,0,0,0,255,8,0.01,0
0.01,44,0.021875,0.000673452,0.025950947,127,7,0.01,0
0.01,45,0,0,0,255,8,0.01,0
0.01,46,2.78E-17,6.16E-33,7.85E-17,255,8,0.01,0
0.01,47,0,0,0,255,8,0.01,0
0.025,0,2.78E-17,6.16E-33,7.85E-17,255,8,0.025,0
0.025,1,1.39E-17,1.54E-33,3.93E-17,255,8,0.025,0
0.025,2,1.73E-17,1.64E-33,4.05E-17,255,8,0.025,0
0.025,3,1.39E-17,1.54E-33,3.93E-17,255,8,0.025,0
0.025,4,1.39E-17,1.54E-33,3.93E-17,255,8,0.025,0
0.025,5,0.307217262,0.110805166,0.332874099,63,6,0.025,0
0.025,6,1.73E-17,1.64E-33,4.05E-17,255,8,0.025,0
0.025,7,0,0,0,255,8,0.025,0
0.025,8,0,0,0,255,8,0.025,0
0.025,9,3.47E-17,6.55E-33,8.09E-17,255,8,0.025,0
0.025,10,5.55E-17,1.23E-32,1.11E-16,255,8,0.025,0
0.025,11,0.16953125,0.066567383,0.258006556,31,5,0.025,0
0.025,12,0,0,0,255,8,0.025,0
0.025,13,6.25E-17,1.27E-32,1.13E-16,255,8,0.025,0
0.025,14,0,0,0,255,8,0.025,0
0.025,15,1.39E-17,1.54E-33,3.93E-17,255,8,0.025,0
0.025,16,0.112574405,0.028730277,0.169500079,7,3,0.025,0
0.025,17,0,0,0,255,8,0.025,0
0.025,18,4.16E-17,7.70E-33,8.78E-17,255,8,0.025,0
0.025,19,0,0,0,255,8,0.025,0
0.025,20,0.168452381,0.045357143,0.212972165,3,2,0.025,0
0.025,21,2.78E-17,6.16E-33,7.85E-17,255,8,0.025,0
0.025,22,0,0,0,255,8,0.025,0
0.025,23,0,0,0,255,8,0.025,0
0.025,24,0.641964286,0.43762702,0.661533839,3,2,0.025,0
0.025,25,6.94E-18,3.85E-34,1.96E-17,255,8,0.025,0
0.025,26,0,0,0,255,8,0.025,0
0.025,27,0.026785714,0.001330871,0.036481103,127,7,0.025,0
0.025,28,0.075,0.005625,0.075,31,5,0.025,0
0.025,29,0.09375,0.009375,0.096824584,15,4,0.025,0
0.025,30,0,0,0,255,8,0.025,0
0.025,31,0.052827381,0.003880031,0.062289896,63,6,0.025,0
0.025,32,0.038988095,0.001610642,0.0401328,31,5,0.025,0
0.025,33,4.16E-17,7.70E-33,8.78E-17,255,8,0.025,0
0.025,34,0,0,0,255,8,0.025,0
0.025,35,0,0,0,255,8,0.025,0
0.025,36,0.01235119,0.000185126,0.013606106,63,6,0.025,0
0.025,37,0.103869048,0.018811473,0.137154922,63,6,0.025,0
0.025,38,0,0,0,255,8,0.025,0
0.025,39,0.141617063,0.049650416,0.222823732,63,6,0.025,0
0.025,40,2.78E-17,6.16E-33,7.85E-17,255,8,0.025,0
0.025,41,2.78E-17,6.16E-33,7.85E-17,255,8,0.025,0
0.025,42,2.78E-17,6.16E-33,7.85E-17,255,8,0.025,0
0.025,43,0,0,0,255,8,0.025,0
0.025,44,0.021875,0.000673452,0.025950947,127,7,0.025,0
0.025,45,0,0,0,255,8,0.025,0
0.025,46,2.78E-17,6.16E-33,7.85E-17,255,8,0.025,0
0.025,47,0,0,0,255,8,0.025,0
0.05,0,2.78E-17,6.16E-33,7.85E-17,255,8,0.05,0
0.05,1,1.39E-17,1.54E-33,3.93E-17,255,8,0.05,0
0.05,2,1.73E-17,1.64E-33,4.05E-17,255,8,0.05,0
0.05,3,1.39E-17,1.54E-33,3.93E-17,255,8,0.05,0
0.05,4,1.39E-17,1.54E-33,3.93E-17,255,8,0.05,0
0.05,5,0.307217262,0.110805166,0.332874099,63,6,0.05,0
0.05,6,1.73E-17,1.64E-33,4.05E-17,255,8,0.05,0
0.05,7,0,0,0,255,8,0.05,0
0.05,8,0,0,0,255,8,0.05,0
0.05,9,3.47E-17,6.55E-33,8.09E-17,255,8,0.05,0
0.05,10,5.55E-17,1.23E-32,1.11E-16,255,8,0.05,0
0.05,11,0.16953125,0.066567383,0.258006556,31,5,0.05,0
0.05,12,0,0,0,255,8,0.05,0
0.05,13,6.25E-17,1.27E-32,1.13E-16,255,8,0.05,0
0.05,14,0,0,0,255,8,0.05,0
0.05,15,1.39E-17,1.54E-33,3.93E-17,255,8,0.05,0
0.05,16,0.112574405,0.028730277,0.169500079,7,3,0.05,0
0.05,17,0,0,0,255,8,0.05,0
0.05,18,4.16E-17,7.70E-33,8.78E-17,255,8,0.05,0
0.05,19,0,0,0,255,8,0.05,0
0.05,20,0.168452381,0.045357143,0.212972165,3,2,0.05,0
0.05,21,2.78E-17,6.16E-33,7.85E-17,255,8,0.05,0
0.05,22,0,0,0,255,8,0.05,0
0.05,23,0,0,0,255,8,0.05,0
0.05,24,0.641964286,0.43762702,0.661533839,3,2,0.05,0
0.05,25,6.94E-18,3.85E-34,1.96E-17,255,8,0.05,0
0.05,26,0,0,0,255,8,0.05,0
0.05,27,0.026785714,0.001330871,0.036481103,127,7,0.05,0
0.05,28,0.075,0.005625,0.075,31,5,0.05,0
0.05,29,0.09375,0.009375,0.096824584,15,4,0.05,0
0.05,30,0,0,0,255,8,0.05,0
0.05,31,0.052827381,0.003880031,0.062289896,63,6,0.05,0
0.05,32,0.038988095,0.001610642,0.0401328,31,5,0.05,0
0.05,33,4.16E-17,7.70E-33,8.78E-17,255,8,0.05,0
0.05,34,0,0,0,255,8,0.05,0
0.05,35,0,0,0,255,8,0.05,0
0.05,36,0.01235119,0.000185126,0.013606106,63,6,0.05,0
0.05,37,0.103869048,0.018811473,0.137154922,63,6,0.05,0
0.05,38,0,0,0,255,8,0.05,0
0.05,39,0.141617063,0.049650416,0.222823732,63,6,0.05,0
0.05,40,2.78E-17,6.16E-33,7.85E-17,255,8,0.05,0
0.05,41,2.78E-17,6.16E-33,7.85E-17,255,8,0.05,0
0.05,42,2.78E-17,6.16E-33,7.85E-17,255,8,0.05,0
0.05,43,0,0,0,255,8,0.05,0
0.05,44,0.021875,0.000673452,0.025950947,127,7,0.05,0
0.05,45,0,0,0,255,8,0.05,0
0.05,46,2.78E-17,6.16E-33,7.85E-17,255,8,0.05,0
0.05,47,0,0,0,255,8,0.05,0
0.075,0,2.78E-17,6.16E-33,7.85E-17,255,8,0.075,0
0.075,1,1.39E-17,1.54E-33,3.93E-17,255,8,0.075,0
0.075,2,0.14047619,0.028285413,0.168182678,127,7,0.075,0
0.075,3,1.39E-17,1.54E-33,3.93E-17,255,8,0.075,0
0.075,4,1.39E-17,1.54E-33,3.93E-17,255,8,0.075,0
0.075,5,0.307217262,0.110805166,0.332874099,63,6,0.075,0
0.075,6,1.73E-17,1.64E-33,4.05E-17,255,8,0.075,0
0.075,7,0,0,0,255,8,0.075,0
0.075,8,0,0,0,255,8,0.075,0
0.075,9,3.47E-17,6.55E-33,8.09E-17,255,8,0.075,0
0.075,10,5.55E-17,1.23E-32,1.11E-16,255,8,0.075,0
0.075,11,0.16953125,0.066567383,0.258006556,31,5,0.075,0
0.075,12,0,0,0,255,8,0.075,0
0.075,13,6.25E-17,1.27E-32,1.13E-16,255,8,0.075,0
0.075,14,0,0,0,255,8,0.075,0
0.075,15,1.39E-17,1.54E-33,3.93E-17,255,8,0.075,0
0.075,16,0.112574405,0.028730277,0.169500079,7,3,0.075,0
0.075,17,0,0,0,255,8,0.075,0
0.075,18,0.139732143,0.026315481,0.162220469,127,7,0.075,0
0.075,19,0,0,0,255,8,0.075,0
0.075,20,0.168452381,0.045357143,0.212972165,3,2,0.075,0
0.075,21,2.78E-17,6.16E-33,7.85E-17,255,8,0.075,0
0.075,22,0,0,0,255,8,0.075,0
0.075,23,0,0,0,255,8,0.075,0
0.075,24,0.641964286,0.43762702,0.661533839,3,2,0.075,0
0.075,25,6.94E-18,3.85E-34,1.96E-17,255,8,0.075,0
0.075,26,0,0,0,255,8,0.075,0
0.075,27,0.026785714,0.001330871,0.036481103,127,7,0.075,0
0.075,28,0.075,0.005625,0.075,31,5,0.075,0
