set_epsilon,actual_epsilon,mae,mse,rmse,mape,unique_subsets,sparsity,steps
0.010,0.0100,0.0381,0.0148,0.0461,7.4683,196.3333,23.01,0.0000
0.025,0.0250,0.0410,0.0163,0.0489,7.7758,195.0000,23.53,0.0000
0.050,0.0500,0.0410,0.0163,0.0489,7.7758,195.0000,23.53,0.0000
0.075,0.0750,0.0468,0.0174,0.0557,8.3098,189.6667,25.62,0.0000
0.100,0.1000,0.0507,0.0184,0.0604,8.6211,187.0000,26.67,0.0000
0.125,0.1250,0.0507,0.0184,0.0604,8.6211,187.0000,26.67,0.0000
0.150,0.1497,0.0535,0.0191,0.0633,8.8476,183.0000,28.24,0.0417
0.175,0.1736,0.0744,0.0275,0.0891,10.1156,171.0000,31.90,0.1667
0.200,0.1972,0.0872,0.0306,0.1061,11.8461,155.6667,40.00,0.3125
0.225,0.2191,0.1213,0.0422,0.1454,14.3174,129.5833,48.66,0.5833
0.250,0.2362,0.1452,0.0490,0.1726,16.1550,108.2500,56.50,1.2292
0.275,0.2495,0.1543,0.0511,0.1833,17.2459,101.5833,60.16,2.1042
0.300,0.2623,0.1582,0.0530,0.1887,17.3916,96.0833,62.32,2.9167
0.325,0.2793,0.1844,0.0725,0.2239,19.7508,78.7917,69.10,3.2500
0.350,0.2917,0.1828,0.0718,0.2221,19.7370,78.8750,69.07,3.9583
0.375,0.2996,0.1987,0.0799,0.2386,21.1347,72.5417,71.03,4.8542
0.400,0.3159,0.1972,0.0826,0.2404,21.3485,67.2917,73.61,5.1667
0.425,0.3254,0.1942,0.0837,0.2403,20.8949,69.6250,72.70,5.9583
0.450,0.3645,0.1922,0.0841,0.2401,21.0112,54.1250,78.77,4.7708
0.475,0.3753,0.1905,0.0830,0.2400,20.7640,53.7083,78.94,5.3542
0.500,0.3991,0.1908,0.0827,0.2417,21.0514,47.1250,81.52,5.1875
0.525,0.4376,0.1981,0.0799,0.2468,22.3579,36.3333,85.75,4.2708
0.550,0.4620,0.2026,0.0799,0.2521,22.7718,30.2500,88.14,4.0833
0.575,0.4916,0.2073,0.0833,0.2595,23.0537,25.3333,90.07,3.6875
0.600,0.5243,0.2152,0.0925,0.2691,24.4252,21.3750,91.62,3.2708
0.625,0.5623,0.2195,0.0956,0.2757,25.3360,16.8750,93.38,2.6458
0.650,0.6116,0.2289,0.1019,0.2861,26.4584,10.7917,95.77,1.5625
0.675,0.6516,0.2335,0.1051,0.2921,26.7576,6.1667,97.58,0.8542
0.700,0.6853,0.2305,0.1026,0.2879,26.4897,3.5000,98.63,0.5000
0.725,0.7151,0.2307,0.1040,0.2900,26.5218,2.8750,98.87,0.3125
0.750,0.7405,0.2260,0.0970,0.2825,26.3268,2.7917,98.91,0.2917
0.775,0.7649,0.2259,0.0968,0.2821,26.3319,2.2083,99.13,0.2708
0.800,0.7839,0.2259,0.0968,0.2821,26.3319,2.2083,99.13,0.4167
0.825,0.7959,0.2259,0.0968,0.2821,26.3319,2.2083,99.13,0.7292
0.850,0.8085,0.2767,0.2206,0.3460,37.4016,2.1250,99.17,1.0208
0.875,0.8266,0.3121,0.2631,0.3835,45.1896,2.0000,99.22,1.1667
0.900,0.8484,0.3242,0.2742,0.3991,48.3110,1.8333,99.28,1.2292
0.925,0.8855,0.3541,0.3091,0.4344,56.6113,2.7500,98.92,1.0000
0.950,0.9354,0.4127,0.4389,0.5089,70.2486,1.1667,99.54,0.3333
0.975,0.9675,0.4151,0.4410,0.5128,70.6217,1.0833,99.58,0.1667
1.000,1.0000,0.4215,0.4511,0.5202,72.7188,1.0000,99.61,0.0000
